addr,firstacc,type,T0
34217347055,0,R,3
34217347055,0,W,0
34217347056,0,R,10
34217347056,0,W,0
34217347072,0,R,94
34217347072,0,W,0
34217347073,0,R,13
34217347073,0,W,0
34217347076,0,R,355
34217347076,0,W,0
34217347077,0,R,1
34217347077,0,W,0
34217347078,0,R,197
34217347078,0,W,0
34217347085,0,R,4
34217347085,0,W,0
34217347650,0,R,310
34217347650,0,W,226
34217347651,0,R,16
34217347651,0,W,265
34217347652,0,R,2
34217347652,0,W,343
34217347653,0,R,1110
34217347653,0,W,339
34217347654,0,R,763
34217347654,0,W,613
34217347655,0,R,897
34217347655,0,W,2129
34217347656,0,R,251
34217347656,0,W,85
34217347657,0,R,65
34217347657,0,W,13
34217347659,0,R,38
34217347659,0,W,26
34217347660,0,R,193
34217347660,0,W,0
34217347661,0,R,451
34217347661,0,W,0
34217347662,0,R,789
34217347662,0,W,0
34217348179,0,R,489
34217348179,0,W,19
34217348180,0,R,47
34217348180,0,W,97
34217348181,0,R,235
34217348181,0,W,0
34217348182,0,R,66
34217348182,0,W,0
34217348183,0,R,313
34217348183,0,W,0
34217348184,0,R,186
34217348184,0,W,0
34217348185,0,R,1346
34217348185,0,W,0
34217348186,0,R,84
34217348186,0,W,0
34217348204,0,R,3
34217348204,0,W,0
34217348205,0,R,59
34217348205,0,W,0
34217348724,0,R,544
34217348724,0,W,37
34217348725,0,R,235
34217348725,0,W,3178
34217348726,0,R,4
34217348726,0,W,2
34217348727,0,R,32
34217348727,0,W,31
34217348743,0,R,2884
34217348743,0,W,413
34217348756,0,R,8213
34217348756,0,W,750
34217348762,0,R,12
34217348762,0,W,0
34217348764,0,R,13
34217348764,0,W,0
34217348765,0,R,11
34217348765,0,W,0
34217348766,0,R,15
34217348766,0,W,0
34217348767,0,R,6
34217348767,0,W,0
34217348768,0,R,17
34217348768,0,W,0
34217348769,0,R,31
34217348769,0,W,0
34217348771,0,R,4
34217348771,0,W,0
34217348772,0,R,49
34217348772,0,W,0
34217348773,0,R,18
34217348773,0,W,0
34217348774,0,R,80
34217348774,0,W,0
34217348775,0,R,4
34217348775,0,W,0
34217348776,0,R,24
34217348776,0,W,0
34217348778,0,R,4
34217348778,0,W,0
34217348779,0,R,65
34217348779,0,W,0
34217348780,0,R,26
34217348780,0,W,0
34217348781,0,R,135
34217348781,0,W,0
34217348782,0,R,8
34217348782,0,W,0
34217348911,0,R,0
34217348911,0,W,84
34217348912,0,R,5576
34217348912,0,W,318
34217428200,0,R,1135
34217428200,0,W,0
34217428227,0,R,213
34217428227,0,W,0
34217428228,0,R,31
34217428228,0,W,0
34217428231,0,R,106
34217428231,0,W,0
34217428746,0,R,1742
34217428746,0,W,67
34217428747,0,R,1227
34217428747,0,W,376
34217428748,0,R,4043
34217428748,0,W,420
34356689222,0,R,3639
34356689222,0,W,2974
34356689224,0,R,30628
34356689224,0,W,33271
34356689225,0,R,2199
34356689225,0,W,987
34356689226,0,R,1218
34356689226,0,W,0
34356689335,0,R,316
34356689335,0,W,0
