addr,firstacc,type,T0
34189786735,0,W,1024
34189786736,0,R,102400
34189786736,0,W,1024
34189786737,0,R,102400
34189786737,0,W,1024
34189786738,0,R,102400
34189786738,0,W,1024
34189786739,0,R,102400
34189786739,0,W,1024
34189786740,0,R,102400
34189786740,0,W,1024
34189786741,0,R,102400
34189786741,0,W,1024
34189786742,0,R,102400
34189786742,0,W,1024
34189786743,0,R,102400
34189786743,0,W,1024
34189786744,0,R,102400
34189786744,0,W,1024
34189786745,0,R,102400
34189786745,0,W,1024
34189786746,0,R,102400
34189786746,0,W,1024
34189786747,0,R,102400
34189786747,0,W,1024
34189786748,0,R,102400
34189786748,0,W,1024
34189786749,0,R,102400
34189786749,0,W,1024
34189786750,0,R,102400
34189786750,0,W,1024
34189786751,0,R,102400
34189786751,0,W,1024
34189786752,0,R,102400
34189786752,0,W,1024
34189786753,0,R,102400
34189786753,0,W,1024
34189786754,0,R,102400
34189786754,0,W,1024
34189786755,0,R,102400
34189786755,0,W,1024
34189786756,0,R,102400
34189786756,0,W,1024
34189786757,0,R,102400
34189786757,0,W,1024
34189786758,0,R,102400
34189786758,0,W,1024
34189786759,0,R,102400
34189786759,0,W,1024
34189786760,0,R,102400
34189786760,0,W,1024
34189786761,0,R,102400
34189786761,0,W,1024
34189786762,0,R,102400
34189786762,0,W,1024
34189786763,0,R,102400
34189786763,0,W,1024
34189786764,0,R,102400
34189786764,0,W,1024
34189786765,0,R,102400
34189786765,0,W,1024
34189786766,0,R,102400
34189786766,0,W,1024
34189786767,0,R,102400
34189786767,0,W,1024
34189786768,0,R,102400
34189786768,0,W,1024
34189786769,0,R,102400
34189786769,0,W,1024
34189786770,0,R,102400
34189786770,0,W,1024
34189786771,0,R,102400
34189786771,0,W,1024
34189786772,0,R,102400
34189786772,0,W,1024
34189786773,0,R,102400
34189786773,0,W,1024
34189786774,0,R,102400
34189786774,0,W,1024
34189786775,0,R,102400
34189786775,0,W,1024
34189786776,0,R,102400
34189786776,0,W,1024
34189786777,0,R,102400
34189786777,0,W,1024
34189786778,0,R,102400
34189786778,0,W,1024
34189786779,0,R,102400
34189786779,0,W,1024
34189786780,0,R,102400
34189786780,0,W,1024
34189786781,0,R,102400
34189786781,0,W,1024
34189786782,0,R,102400
34189786782,0,W,1024
34189786783,0,R,102400
34189786783,0,W,1024
34189786784,0,R,102400
34189786784,0,W,1024
34189786785,0,R,102400
34189786785,0,W,1024
34189786786,0,R,102400
34189786786,0,W,1024
34189786787,0,R,102400
34189786787,0,W,1024
34189786788,0,R,102400
34189786788,0,W,1024
34189786789,0,R,102400
34189786789,0,W,1024
34189786790,0,R,102400
34189786790,0,W,1024
34189786791,0,R,102400
34189786791,0,W,1024
34189786792,0,R,102400
34189786792,0,W,1024
34189786793,0,R,102400
34189786793,0,W,1024
34189786794,0,R,102400
34189786794,0,W,1024
34189786795,0,R,102400
34189786795,0,W,1024
34189786796,0,R,102400
34189786796,0,W,1024
34189786797,0,R,102400
34189786797,0,W,1024
34189786798,0,R,102400
34189786798,0,W,1024
34189786799,0,R,102400
34189786799,0,W,1024
34189786800,0,R,102400
34189786800,0,W,1024
34189786801,0,R,102400
34189786801,0,W,1024
34189786802,0,R,102400
34189786802,0,W,1024
34189786803,0,R,102400
34189786803,0,W,1024
34189786804,0,R,102400
34189786804,0,W,1024
34189786805,0,R,102400
34189786805,0,W,1024
34189786806,0,R,102400
34189786806,0,W,1024
34189786807,0,R,102400
34189786807,0,W,1024
34189786808,0,R,102400
34189786808,0,W,1024
34189786809,0,R,102400
34189786809,0,W,1024
34189786810,0,R,102400
34189786810,0,W,1024
34189786811,0,R,102400
34189786811,0,W,1024
34189786812,0,R,102400
34189786812,0,W,1024
34189786813,0,R,102400
34189786813,0,W,1024
34189786814,0,R,102400
34189786814,0,W,1024
34189786815,0,R,102400
34189786815,0,W,1024
34189786816,0,R,102400
34189786816,0,W,1024
34189786817,0,R,102400
34189786817,0,W,1024
34189786818,0,R,102400
34189786818,0,W,1024
34189786819,0,R,102400
34189786819,0,W,1024
34189786820,0,R,102400
34189786820,0,W,1024
34189786821,0,R,102400
34189786821,0,W,1024
34189786822,0,R,102400
34189786822,0,W,1024
34189786823,0,R,102400
34189786823,0,W,1024
34189786824,0,R,102400
34189786824,0,W,1024
34189786825,0,R,102400
34189786825,0,W,1024
34189786826,0,R,102400
34189786826,0,W,1024
34189786827,0,R,102400
34189786827,0,W,1024
34189786828,0,R,102400
34189786828,0,W,1024
34189786829,0,R,102400
34189786829,0,W,1024
34189786830,0,R,102400
34189786830,0,W,1024
34189786831,0,R,102400
34189786831,0,W,1024
34189786832,0,R,102400
34189786832,0,W,1024
34189786833,0,R,102400
34189786833,0,W,1024
34189786834,0,R,102400
34189786834,0,W,1024
34189786835,0,R,102400
34189786835,0,W,1024
34189786836,0,R,102400
34189786836,0,W,1024
34189786837,0,R,102400
34189786837,0,W,1024
34189786838,0,R,102400
34189786838,0,W,1024
34189786839,0,R,102400
34189786839,0,W,1024
34189786840,0,R,102400
34189786840,0,W,1024
34189786841,0,R,102400
34189786841,0,W,1024
34189786842,0,R,102400
34189786842,0,W,1024
34189786843,0,R,102400
34189786843,0,W,1024
34189786844,0,R,102400
34189786844,0,W,1024
34189786845,0,R,102400
34189786845,0,W,1024
34189786846,0,R,102400
34189786846,0,W,1024
34189786847,0,R,102400
34189786847,0,W,1024
34189786848,0,R,102400
34189786848,0,W,1024
34189786849,0,R,102400
34189786849,0,W,1024
34189786850,0,R,102400
34189786850,0,W,1024
34189786851,0,R,102400
34189786851,0,W,1024
34189786852,0,R,102400
34189786852,0,W,1024
34189786853,0,R,102400
34189786853,0,W,1024
34189786854,0,R,102400
34189786854,0,W,1024
34189786855,0,R,102400
34189786855,0,W,1024
34189786856,0,R,102400
34189786856,0,W,1024
34189786857,0,R,102400
34189786857,0,W,1024
34189786858,0,R,102400
34189786858,0,W,1024
34189786859,0,R,102400
34189786859,0,W,1024
34189786860,0,R,102400
34189786860,0,W,1024
34189786861,0,R,102400
34189786861,0,W,1024
34189786862,0,R,102400
34189786862,0,W,1024
34189786863,0,R,102400
34189786863,0,W,1024
34189786864,0,R,102400
34189786864,0,W,1024
34189786865,0,R,102400
34189786865,0,W,1024
34189786866,0,R,102400
34189786866,0,W,1024
34189786867,0,R,102400
34189786867,0,W,1024
34189786868,0,R,102400
34189786868,0,W,1024
34189786869,0,R,102400
34189786869,0,W,1024
34189786870,0,R,102400
34189786870,0,W,1024
34189786871,0,R,102400
34189786871,0,W,1024
34189786872,0,R,102400
34189786872,0,W,1024
34189786873,0,R,102400
34189786873,0,W,1024
34189786874,0,R,102400
34189786874,0,W,1024
34189786875,0,R,102400
34189786875,0,W,1024
34189786876,0,R,102400
34189786876,0,W,1024
34189786877,0,R,102400
34189786877,0,W,1024
34189786878,0,R,102400
34189786878,0,W,1024
34189786879,0,R,102400
34189786879,0,W,1024
34189786880,0,R,102400
34189786880,0,W,1024
34189786881,0,R,102400
34189786881,0,W,1024
34189786882,0,R,102400
34189786882,0,W,1024
34189786883,0,R,102400
34189786883,0,W,1024
34189786884,0,R,102400
34189786884,0,W,1024
34189786885,0,R,102400
34189786885,0,W,1024
34189786886,0,R,102400
34189786886,0,W,1024
34189786887,0,R,102400
34189786887,0,W,1024
34189786888,0,R,102400
34189786888,0,W,1024
34189786889,0,R,102400
34189786889,0,W,1024
34189786890,0,R,102400
34189786890,0,W,1024
34189786891,0,R,102400
34189786891,0,W,1024
34189786892,0,R,102400
34189786892,0,W,1024
34189786893,0,R,102400
34189786893,0,W,1024
34189786894,0,R,102400
34189786894,0,W,1024
34189786895,0,R,102400
34189786895,0,W,1024
34189786896,0,R,102400
34189786896,0,W,1024
34189786897,0,R,102400
34189786897,0,W,1024
34189786898,0,R,102400
34189786898,0,W,1024
34189786899,0,R,102400
34189786899,0,W,1024
34189786900,0,R,102400
34189786900,0,W,1024
34189786901,0,R,102400
34189786901,0,W,1024
34189786902,0,R,102400
34189786902,0,W,1024
34189786903,0,R,102400
34189786903,0,W,1024
34189786904,0,R,102400
34189786904,0,W,1024
34189786905,0,R,102400
34189786905,0,W,1024
34189786906,0,R,102400
34189786906,0,W,1024
34189786907,0,R,102400
34189786907,0,W,1024
34189786908,0,R,102400
34189786908,0,W,1024
34189786909,0,R,6400
34189786909,0,W,64
34189786910,0,R,684
34189786910,0,W,1021
34189786911,0,R,682
34189786911,0,W,1024
34189786912,0,R,683
34189786912,0,W,1024
34189786913,0,R,683
34189786913,0,W,1024
34189786914,0,R,682
34189786914,0,W,1024
34189786915,0,R,683
34189786915,0,W,1024
34189786916,0,R,682
34189786916,0,W,1024
34189786917,0,R,684
34189786917,0,W,1024
34189786918,0,R,682
34189786918,0,W,1024
34189786919,0,R,683
34189786919,0,W,1024
34189786920,0,R,682
34189786920,0,W,1024
34189786921,0,R,683
34189786921,0,W,1024
34189786922,0,R,683
34189786922,0,W,1024
34189786923,0,R,682
34189786923,0,W,1024
34189786924,0,R,683
34189786924,0,W,1024
34189786925,0,R,682
34189786925,0,W,1024
34189786926,0,R,684
34189786926,0,W,1024
34189786927,0,R,682
34189786927,0,W,1024
34189786928,0,R,683
34189786928,0,W,1024
34189786929,0,R,682
34189786929,0,W,1024
34189786930,0,R,683
34189786930,0,W,1024
34189786931,0,R,683
34189786931,0,W,1024
34189786932,0,R,682
34189786932,0,W,1024
34189786933,0,R,683
34189786933,0,W,1024
34189786934,0,R,682
34189786934,0,W,1024
34189786935,0,R,684
34189786935,0,W,1024
34189786936,0,R,682
34189786936,0,W,1024
34189786937,0,R,683
34189786937,0,W,1024
34189786938,0,R,682
34189786938,0,W,1024
34189786939,0,R,683
34189786939,0,W,1024
34189786940,0,R,683
34189786940,0,W,1024
34189786941,0,R,682
34189786941,0,W,1024
34189786942,0,R,683
34189786942,0,W,1024
34189786943,0,R,682
34189786943,0,W,1024
34189786944,0,R,684
34189786944,0,W,1024
34189786945,0,R,682
34189786945,0,W,1024
34189786946,0,R,683
34189786946,0,W,1024
34189786947,0,R,682
34189786947,0,W,1024
34189786948,0,R,683
34189786948,0,W,1024
34189786949,0,R,683
34189786949,0,W,1024
34189786950,0,R,682
34189786950,0,W,1024
34189786951,0,R,683
34189786951,0,W,1024
34189786952,0,R,682
34189786952,0,W,1024
34189786953,0,R,684
34189786953,0,W,1024
34189786954,0,R,682
34189786954,0,W,1024
34189786955,0,R,683
34189786955,0,W,1024
34189786956,0,R,682
34189786956,0,W,1024
34189786957,0,R,683
34189786957,0,W,1024
34189786958,0,R,683
34189786958,0,W,1024
34189786959,0,R,682
34189786959,0,W,1024
34189786960,0,R,683
34189786960,0,W,1024
34189786961,0,R,682
34189786961,0,W,1024
34189786962,0,R,684
34189786962,0,W,1024
34189786963,0,R,682
34189786963,0,W,1024
34189786964,0,R,683
34189786964,0,W,1024
34189786965,0,R,682
34189786965,0,W,1024
34189786966,0,R,683
34189786966,0,W,1024
34189786967,0,R,683
34189786967,0,W,1024
34189786968,0,R,682
34189786968,0,W,1024
34189786969,0,R,683
34189786969,0,W,1024
34189786970,0,R,682
34189786970,0,W,1024
34189786971,0,R,684
34189786971,0,W,1024
34189786972,0,R,682
34189786972,0,W,1024
34189786973,0,R,683
34189786973,0,W,1024
34189786974,0,R,682
34189786974,0,W,1024
34189786975,0,R,683
34189786975,0,W,1024
34189786976,0,R,683
34189786976,0,W,1024
34189786977,0,R,682
34189786977,0,W,1024
34189786978,0,R,683
34189786978,0,W,1024
34189786979,0,R,682
34189786979,0,W,1024
34189786980,0,R,684
34189786980,0,W,1024
34189786981,0,R,682
34189786981,0,W,1024
34189786982,0,R,683
34189786982,0,W,1024
34189786983,0,R,682
34189786983,0,W,1024
34189786984,0,R,683
34189786984,0,W,1024
34189786985,0,R,683
34189786985,0,W,1024
34189786986,0,R,682
34189786986,0,W,1024
34189786987,0,R,683
34189786987,0,W,1024
34189786988,0,R,682
34189786988,0,W,1024
34189786989,0,R,684
34189786989,0,W,1024
34189786990,0,R,682
34189786990,0,W,1024
34189786991,0,R,683
34189786991,0,W,1024
34189786992,0,R,682
34189786992,0,W,1024
34189786993,0,R,683
34189786993,0,W,1024
34189786994,0,R,683
34189786994,0,W,1024
34189786995,0,R,682
34189786995,0,W,1024
34189786996,0,R,683
34189786996,0,W,1024
34189786997,0,R,682
34189786997,0,W,1024
34189786998,0,R,684
34189786998,0,W,1024
34189786999,0,R,682
34189786999,0,W,1024
34189787000,0,R,683
34189787000,0,W,1024
34189787001,0,R,682
34189787001,0,W,1024
34189787002,0,R,683
34189787002,0,W,1024
34189787003,0,R,683
34189787003,0,W,1024
34189787004,0,R,682
34189787004,0,W,1024
34189787005,0,R,683
34189787005,0,W,1024
34189787006,0,R,682
34189787006,0,W,1024
34189787007,0,R,684
34189787007,0,W,1024
34189787008,0,R,682
34189787008,0,W,1024
34189787009,0,R,683
34189787009,0,W,1024
34189787010,0,R,682
34189787010,0,W,1024
34189787011,0,R,683
34189787011,0,W,1024
34189787012,0,R,683
34189787012,0,W,1024
34189787013,0,R,682
34189787013,0,W,1024
34189787014,0,R,683
34189787014,0,W,1024
34189787015,0,R,682
34189787015,0,W,1024
34189787016,0,R,684
34189787016,0,W,1024
34189787017,0,R,682
34189787017,0,W,1024
34189787018,0,R,683
34189787018,0,W,1024
34189787019,0,R,682
34189787019,0,W,1024
34189787020,0,R,683
34189787020,0,W,1024
34189787021,0,R,683
34189787021,0,W,1024
34189787022,0,R,682
34189787022,0,W,1024
34189787023,0,R,683
34189787023,0,W,1024
34189787024,0,R,682
34189787024,0,W,1024
34189787025,0,R,684
34189787025,0,W,1024
34189787026,0,R,682
34189787026,0,W,1024
34189787027,0,R,683
34189787027,0,W,1024
34189787028,0,R,682
34189787028,0,W,1024
34189787029,0,R,683
34189787029,0,W,1024
34189787030,0,R,683
34189787030,0,W,1024
34189787031,0,R,682
34189787031,0,W,1024
34189787032,0,R,683
34189787032,0,W,1024
34189787033,0,R,682
34189787033,0,W,1024
34189787034,0,R,684
34189787034,0,W,1024
34189787035,0,R,682
34189787035,0,W,1024
34189787036,0,R,683
34189787036,0,W,1024
34189787037,0,R,682
34189787037,0,W,1024
34189787038,0,R,683
34189787038,0,W,1024
34189787039,0,R,683
34189787039,0,W,1024
34189787040,0,R,682
34189787040,0,W,1024
34189787041,0,R,683
34189787041,0,W,1024
34189787042,0,R,682
34189787042,0,W,1024
34189787043,0,R,684
34189787043,0,W,1024
34189787044,0,R,682
34189787044,0,W,1024
34189787045,0,R,683
34189787045,0,W,1024
34189787046,0,R,682
34189787046,0,W,1024
34189787047,0,R,683
34189787047,0,W,1024
34189787048,0,R,683
34189787048,0,W,1024
34189787049,0,R,682
34189787049,0,W,1024
34189787050,0,R,683
34189787050,0,W,1024
34189787051,0,R,682
34189787051,0,W,1024
34189787052,0,R,684
34189787052,0,W,1024
34189787053,0,R,682
34189787053,0,W,1024
34189787054,0,R,683
34189787054,0,W,1024
34189787055,0,R,682
34189787055,0,W,1024
34189787056,0,R,683
34189787056,0,W,1024
34189787057,0,R,683
34189787057,0,W,1024
34189787058,0,R,682
34189787058,0,W,1024
34189787059,0,R,683
34189787059,0,W,1024
34189787060,0,R,682
34189787060,0,W,1024
34189787061,0,R,684
34189787061,0,W,1024
34189787062,0,R,682
34189787062,0,W,1024
34189787063,0,R,683
34189787063,0,W,1024
34189787064,0,R,682
34189787064,0,W,1024
34189787065,0,R,683
34189787065,0,W,1024
34189787066,0,R,683
34189787066,0,W,1024
34189787067,0,R,682
34189787067,0,W,1024
34189787068,0,R,683
34189787068,0,W,1024
34189787069,0,R,682
34189787069,0,W,1024
34189787070,0,R,684
34189787070,0,W,1024
34189787071,0,R,682
34189787071,0,W,1024
34189787072,0,R,683
34189787072,0,W,1024
34189787073,0,R,682
34189787073,0,W,1024
34189787074,0,R,683
34189787074,0,W,1024
34189787075,0,R,683
34189787075,0,W,1024
34189787076,0,R,682
34189787076,0,W,1024
34189787077,0,R,683
34189787077,0,W,1024
34189787078,0,R,682
34189787078,0,W,1024
34189787079,0,R,684
34189787079,0,W,1024
34189787080,0,R,682
34189787080,0,W,1024
34189787081,0,R,683
34189787081,0,W,1024
34189787082,0,R,682
34189787082,0,W,1024
34189787083,0,R,683
34189787083,0,W,1024
34189787084,0,R,683
34189787084,0,W,1024
34189787085,0,R,682
34189787085,0,W,1024
34189787086,0,R,683
34189787086,0,W,1024
34189787087,0,R,682
34189787087,0,W,1024
34189787088,0,R,684
34189787088,0,W,1024
34189787089,0,R,682
34189787089,0,W,1024
34189787090,0,R,683
34189787090,0,W,1024
34189787091,0,R,682
34189787091,0,W,1024
34189787092,0,R,683
34189787092,0,W,1024
34189787093,0,R,683
34189787093,0,W,1024
34189787094,0,R,682
34189787094,0,W,1024
34189787095,0,R,683
34189787095,0,W,1024
34189787096,0,R,682
34189787096,0,W,1024
34189787097,0,R,684
34189787097,0,W,1024
34189787098,0,R,682
34189787098,0,W,1024
34189787099,0,R,683
34189787099,0,W,1024
34189787100,0,R,682
34189787100,0,W,1024
34189787101,0,R,683
34189787101,0,W,1024
34189787102,0,R,683
34189787102,0,W,1024
34189787103,0,R,682
34189787103,0,W,1024
34189787104,0,R,683
34189787104,0,W,1024
34189787105,0,R,682
34189787105,0,W,1024
34189787106,0,R,684
34189787106,0,W,1024
34189787107,0,R,682
34189787107,0,W,1024
34189787108,0,R,683
34189787108,0,W,1024
34189787109,0,R,682
34189787109,0,W,1024
34189787110,0,R,683
34189787110,0,W,1024
34189787111,0,R,683
34189787111,0,W,1024
34189787112,0,R,682
34189787112,0,W,1024
34189787113,0,R,683
34189787113,0,W,1024
34189787114,0,R,682
34189787114,0,W,1024
34189787115,0,R,684
34189787115,0,W,1024
34189787116,0,R,682
34189787116,0,W,1024
34189787117,0,R,683
34189787117,0,W,1024
34189787118,0,R,682
34189787118,0,W,1024
34189787119,0,R,683
34189787119,0,W,1024
34189787120,0,R,683
34189787120,0,W,1024
34189787121,0,R,682
34189787121,0,W,1024
34189787122,0,R,683
34189787122,0,W,1024
34189787123,0,R,682
34189787123,0,W,1024
34189787124,0,R,684
34189787124,0,W,1024
34189787125,0,R,682
34189787125,0,W,1024
34189787126,0,R,683
34189787126,0,W,1024
34189787127,0,R,682
34189787127,0,W,1024
34189787128,0,R,683
34189787128,0,W,1024
34189787129,0,R,683
34189787129,0,W,1024
34189787130,0,R,682
34189787130,0,W,1024
34189787131,0,R,683
34189787131,0,W,1024
34189787132,0,R,682
34189787132,0,W,1024
34189787133,0,R,684
34189787133,0,W,1024
34189787134,0,R,682
34189787134,0,W,1024
34189787135,0,R,683
34189787135,0,W,1024
34189787136,0,R,682
34189787136,0,W,1024
34189787137,0,R,683
34189787137,0,W,1024
34189787138,0,R,683
34189787138,0,W,1024
34189787139,0,R,682
34189787139,0,W,1024
34189787140,0,R,683
34189787140,0,W,1024
34189787141,0,R,682
34189787141,0,W,1024
34189787142,0,R,684
34189787142,0,W,1024
34189787143,0,R,682
34189787143,0,W,1024
34189787144,0,R,683
34189787144,0,W,1024
34189787145,0,R,682
34189787145,0,W,1024
34189787146,0,R,683
34189787146,0,W,1024
34189787147,0,R,683
34189787147,0,W,1024
34189787148,0,R,682
34189787148,0,W,1024
34189787149,0,R,683
34189787149,0,W,1024
34189787150,0,R,682
34189787150,0,W,1024
34189787151,0,R,684
34189787151,0,W,1024
34189787152,0,R,682
34189787152,0,W,1024
34189787153,0,R,683
34189787153,0,W,1024
34189787154,0,R,682
34189787154,0,W,1024
34189787155,0,R,683
34189787155,0,W,1024
34189787156,0,R,683
34189787156,0,W,1024
34189787157,0,R,682
34189787157,0,W,1024
34189787158,0,R,683
34189787158,0,W,1024
34189787159,0,R,682
34189787159,0,W,1024
34189787160,0,R,684
34189787160,0,W,1024
34189787161,0,R,682
34189787161,0,W,1024
34189787162,0,R,683
34189787162,0,W,1024
34189787163,0,R,682
34189787163,0,W,1024
34189787164,0,R,683
34189787164,0,W,1024
34189787165,0,R,683
34189787165,0,W,1024
34189787166,0,R,682
34189787166,0,W,1024
34189787167,0,R,683
34189787167,0,W,1024
34189787168,0,R,682
34189787168,0,W,1024
34189787169,0,R,684
34189787169,0,W,1024
34189787170,0,R,682
34189787170,0,W,1024
34189787171,0,R,683
34189787171,0,W,1024
34189787172,0,R,682
34189787172,0,W,1024
34189787173,0,R,683
34189787173,0,W,1024
34189787174,0,R,683
34189787174,0,W,1024
34189787175,0,R,682
34189787175,0,W,1024
34189787176,0,R,683
34189787176,0,W,1024
34189787177,0,R,682
34189787177,0,W,1024
